===== SIGNATURE SPEED TEST =====
Configuration info
==================
Target platform:  x86_64-Linux-6.14.0-37-generic
Compiler:         gcc (13.3.0)
Compile options:  [-Wa,--noexecstack;-O3;-fomit-frame-pointer;-fdata-sections;-ffunction-sections;-Wl,--gc-sections;-Wbad-function-cast]
OQS version:      0.15.0 (major: 0, minor: 15, patch: 0)
Git commit:       589731b0c947d73b3d6fc72bcd4e3b6e0ec0bf4e
OpenSSL enabled:  Yes (OpenSSL 3.0.13 30 Jan 2024)
AES:              NI
SHA-2:            OpenSSL
SHA-3:            AVX2
OQS build flags:  OQS_DIST_BUILD OQS_LIBJADE_BUILD OQS_OPT_TARGET=generic CMAKE_BUILD_TYPE=Release 
CPU exts active:  ADX AES AVX AVX2 BMI1 BMI2 PCLMULQDQ POPCNT SSE SSE2 SSE3
Speed test
==========
Started at 2025-12-26 10:50:40
Operation                            | Iterations | Total time (s) | Time (us): mean | pop. stdev | CPU cycles: mean          | pop. stdev
SNOVA_56_25_2                        |            |                |                 |            |                           |           
keypair                              |       2808 |          3.001 |        1068.575 |     33.737 |                   3410755 |     107667
sign                                 |       2844 |          3.001 |        1055.190 |     78.239 |                   3368006 |     249704
verify                               |      16630 |          3.000 |         180.402 |     11.248 |                    575740 |      35880
SNOVA_49_11_3                        |            |                |                 |            |                           |           
keypair                              |       5709 |          3.000 |         525.548 |     92.818 |                   1677375 |     296283
sign                                 |       3071 |          3.000 |         976.963 |    145.788 |                   3118259 |     465396
verify                               |      12845 |          3.000 |         233.559 |     11.546 |                    745350 |      36820
SNOVA_37_8_4                         |            |                |                 |            |                           |           
keypair                              |       8245 |          3.000 |         363.902 |     16.566 |                   1161448 |      52862
sign                                 |       2917 |          3.000 |        1028.495 |    185.258 |                   3282778 |     591327
verify                               |      13678 |          3.000 |         219.338 |     11.589 |                    699953 |      36955
SNOVA_24_5_5                         |            |                |                 |            |                           |           
keypair                              |      20627 |          3.000 |         145.447 |     11.088 |                    464154 |      35356
sign                                 |       3701 |          3.000 |         810.654 |    179.718 |                   2587429 |     573617
verify                               |      13540 |          3.000 |         221.567 |     13.692 |                    707063 |      43668
SNOVA_60_10_4                        |            |                |                 |            |                           |           
keypair                              |       2402 |          3.001 |        1249.268 |     37.800 |                   3987463 |     120501
sign                                 |       1090 |          3.001 |        2753.604 |    400.145 |                   8789244 |    1277282
verify                               |       5148 |          3.000 |         582.822 |     20.203 |                   1860207 |      64483
SNOVA_29_6_5                         |            |                |                 |            |                           |           
keypair                              |      12033 |          3.000 |         249.319 |     12.761 |                    795659 |      40696
sign                                 |       2319 |          3.001 |        1294.115 |    381.611 |                   4130635 |    1218085
verify                               |       8556 |          3.000 |         350.638 |     16.597 |                   1119029 |      52882
SLH_DSA_PURE_SHA2_128S               |            |                |                 |            |                           |           
keypair                              |         47 |          3.016 |       64179.702 |    962.438 |                 204859807 |    3071575
sign                                 |          7 |          3.418 |      488267.429 |   1791.932 |                1558535540 |    5719253
verify                               |       6029 |          3.000 |         497.676 |     20.583 |                   1588521 |      65684
SLH_DSA_PURE_SHA2_128F               |            |                |                 |            |                           |           
keypair                              |       2999 |          3.000 |        1000.338 |     30.365 |                   3192981 |      96924
sign                                 |        129 |          3.018 |       23393.721 |    298.962 |                  74672130 |     954384
verify                               |       2039 |          3.000 |        1471.487 |    411.978 |                   4696871 |    1315013
SLH_DSA_PURE_SHA2_192S               |            |                |                 |            |                           |           
keypair                              |         33 |          3.054 |       92559.545 |    670.750 |                 295447305 |    2141108
