===== SIGNATURE SPEED TEST =====
Configuration info
==================
Target platform:  x86_64-Linux-6.14.0-37-generic
Compiler:         gcc (13.3.0)
Compile options:  [-Wa,--noexecstack;-O3;-fomit-frame-pointer;-fdata-sections;-ffunction-sections;-Wl,--gc-sections;-Wbad-function-cast]
OQS version:      0.15.0 (major: 0, minor: 15, patch: 0)
Git commit:       589731b0c947d73b3d6fc72bcd4e3b6e0ec0bf4e
OpenSSL enabled:  Yes (OpenSSL 3.0.13 30 Jan 2024)
AES:              NI
SHA-2:            OpenSSL
SHA-3:            AVX2
OQS build flags:  OQS_DIST_BUILD OQS_LIBJADE_BUILD OQS_OPT_TARGET=generic CMAKE_BUILD_TYPE=Release 
CPU exts active:  ADX AES AVX AVX2 BMI1 BMI2 PCLMULQDQ POPCNT SSE SSE2 SSE3
Speed test
==========
Started at 2025-12-26 10:50:40
Operation                            | Iterations | Total time (s) | Time (us): mean | pop. stdev | CPU cycles: mean          | pop. stdev
SLH_DSA_SHA3_224_PREHASH_SHAKE_192S  |            |                |                 |            |                           |           
keypair                              |         18 |          3.100 |      172204.000 |   5879.232 |                 549668087 |   18765340
sign                                 |          2 |          3.223 |     1611278.500 |   3083.500 |                 848183024 |    9842532
verify                               |       2297 |          3.000 |        1306.174 |     78.821 |                   4169088 |     251220
SLH_DSA_SHA3_224_PREHASH_SHAKE_192F  |            |                |                 |            |                           |           
keypair                              |       1098 |          3.002 |        2734.479 |    138.868 |                   8728184 |     443067
sign                                 |         42 |          3.047 |       72541.714 |   1558.188 |                 231550153 |    4973329
verify                               |        804 |          3.003 |        3734.767 |    191.609 |                  11921052 |     611305
SLH_DSA_SHA3_224_PREHASH_SHAKE_256S  |            |                |                 |            |                           |           
keypair                              |         26 |          3.025 |      116329.885 |   2692.507 |                 371320615 |    8594247
sign                                 |          3 |          4.317 |     1438905.333 |  11680.571 |                 297969629 |   37284059
verify                               |       1618 |          3.002 |        1855.233 |     93.347 |                   5921754 |     297925
SLH_DSA_SHA3_224_PREHASH_SHAKE_256F  |            |                |                 |            |                           |           
keypair                              |        415 |          3.004 |        7237.552 |    294.011 |                  23101554 |     938034
sign                                 |         21 |          3.130 |      149059.857 |   3410.832 |                 475793094 |   10886763
verify                               |        774 |          3.001 |        3877.810 |    172.045 |                  12377382 |     548620
SLH_DSA_SHA3_256_PREHASH_SHA2_128S   |            |                |                 |            |                           |           
keypair                              |         45 |          3.017 |       67035.867 |   1588.014 |                 213976149 |    5068718
sign                                 |          6 |          3.123 |      520450.167 |   8358.763 |                1661258381 |   26679759
verify                               |       6174 |          3.000 |         485.988 |     35.393 |                   1551138 |     112889
SLH_DSA_SHA3_256_PREHASH_SHA2_128F   |            |                |                 |            |                           |           
keypair                              |       2877 |          3.000 |        1042.915 |     63.466 |                   3328871 |     202496
sign                                 |        126 |          3.023 |       23989.349 |   1131.484 |                  76572875 |    3611486
verify                               |       1948 |          3.002 |        1540.823 |     78.729 |                   4918040 |     251149
SLH_DSA_SHA3_256_PREHASH_SHA2_192S   |            |                |                 |            |                           |           
keypair                              |         31 |          3.052 |       98465.710 |   2654.776 |                 314298116 |    8473380
sign                                 |          4 |          3.664 |      915997.000 |   8559.451 |                2923830164 |   27321374
verify                               |       3729 |          3.000 |         804.596 |     47.771 |                   2568138 |     152372
SLH_DSA_SHA3_256_PREHASH_SHA2_192F   |            |                |                 |            |                           |           
keypair                              |       1978 |          3.001 |        1517.356 |     67.406 |                   4843275 |     215074
sign                                 |         74 |          3.022 |       40841.595 |   1632.915 |                 130364458 |    5212102
verify                               |       1343 |          3.001 |        2234.544 |    120.502 |                   7132385 |     384448
SLH_DSA_SHA3_256_PREHASH_SHA2_256S   |            |                |                 |            |                           |           
keypair                              |         49 |          3.055 |       62349.571 |   1812.036 |                 199017619 |    5783706
sign                                 |          4 |          3.260 |      814996.750 |   6044.118 |                2601442124 |   19292781
verify                               |       2712 |          3.001 |        1106.412 |     48.084 |                   3531541 |     153294
SLH_DSA_SHA3_256_PREHASH_SHA2_256F   |            |                |                 |            |                           |           
keypair                              |        775 |          3.002 |        3873.311 |    125.745 |                  12363440 |     401337
sign                                 |         38 |          3.018 |       79420.500 |    726.324 |                 253507537 |    2318249
verify                               |       1433 |          3.001 |        2094.281 |     61.956 |                   6684810 |     197759
SLH_DSA_SHA3_256_PREHASH_SHAKE_128S  |            |                |                 |            |                           |           
keypair                              |         27 |          3.085 |      114258.222 |   1003.609 |                 364708138 |    3204094
sign                                 |          4 |          3.478 |      869483.500 |   1448.700 |                2775362039 |    4624524
verify                               |       3335 |          3.001 |         899.794 |     26.118 |                   2872057 |      83343
SLH_DSA_SHA3_256_PREHASH_SHAKE_128F  |            |                |                 |            |                           |           
keypair                              |       1692 |          3.001 |        1773.781 |     45.207 |                   5661769 |     144286
sign                                 |         73 |          3.040 |       41643.562 |    610.027 |                 132924748 |    1947119
verify                               |       1192 |          3.002 |        2518.773 |     54.280 |                   8039784 |     173255
SLH_DSA_SHA3_256_PREHASH_SHAKE_192S  |            |                |                 |            |                           |           
keypair                              |         19 |          3.160 |      166298.579 |    730.269 |                 530819230 |    2330760
sign                                 |          2 |          3.080 |     1539828.500 |    341.500 |                 620114418 |    1090644
verify                               |       2468 |          3.001 |        1215.950 |     44.657 |                   3881205 |     142541
SLH_DSA_SHA3_256_PREHASH_SHAKE_192F  |            |                |                 |            |                           |           
keypair                              |       1154 |          3.000 |        2599.972 |     58.526 |                   8298954 |     186793
sign                                 |         44 |          3.013 |       68475.250 |    565.514 |                 218570680 |    1804836
verify                               |        806 |          3.003 |        3725.531 |    124.976 |                  11891687 |     398918
SLH_DSA_SHA3_256_PREHASH_SHAKE_256S  |            |                |                 |            |                           |           
keypair                              |         28 |          3.090 |      110341.536 |   1009.135 |                 352206404 |    3220964
sign                                 |          3 |          4.144 |     1381268.667 |   4824.729 |                 113995990 |   15398966
verify                               |       1604 |          3.001 |        1870.719 |     46.473 |                   5971206 |     148330
SLH_DSA_SHA3_256_PREHASH_SHAKE_256F  |            |                |                 |            |                           |           
keypair                              |        434 |          3.002 |        6916.869 |    151.858 |                  22078331 |     484734
sign                                 |         22 |          3.125 |      142024.909 |   1704.927 |                 453336319 |    5442636
verify                               |        812 |          3.003 |        3698.659 |     91.834 |                  11805904 |     293140
SLH_DSA_SHA3_384_PREHASH_SHA2_128S   |            |                |                 |            |                           |           
keypair                              |         47 |          3.022 |       64302.085 |    957.156 |                 205249936 |    3054957
sign                                 |          7 |          3.424 |      489156.571 |    973.929 |                1561371392 |    3108606
verify                               |       5897 |          3.000 |         508.813 |     20.037 |                   1624051 |      63954
SLH_DSA_SHA3_384_PREHASH_SHA2_128F   |            |                |                 |            |                           |           
keypair                              |       3007 |          3.000 |         997.810 |     29.758 |                   3184915 |      94989
sign                                 |        129 |          3.011 |       23342.473 |    281.532 |                  74508237 |     898465
verify                               |       2221 |          3.000 |        1350.918 |     39.843 |                   4312024 |     127166
SLH_DSA_SHA3_384_PREHASH_SHA2_192S   |            |                |                 |            |                           |           
keypair                              |         33 |          3.060 |       92723.727 |    535.870 |                 295971015 |    1710393
sign                                 |          4 |          3.482 |      870403.250 |    596.452 |                2778298760 |    1903340
verify                               |       4139 |          3.001 |         724.955 |     26.110 |                   2313961 |      83337
SLH_DSA_SHA3_384_PREHASH_SHA2_192F   |            |                |                 |            |                           |           
keypair                              |       2055 |          3.000 |        1459.950 |     47.902 |                   4660026 |     152881
sign                                 |         78 |          3.023 |       38761.782 |    532.106 |                 123726199 |    1698483
verify                               |       1442 |          3.002 |        2081.850 |     53.130 |                   6645104 |     169584
SLH_DSA_SHA3_384_PREHASH_SHA2_256S   |            |                |                 |            |                           |           
keypair                              |         50 |          3.053 |       61060.560 |    505.075 |                 194903200 |    1612326
sign                                 |          4 |          3.096 |      773952.750 |   4358.293 |                2470431160 |   13910962
verify                               |       2891 |          3.001 |        1037.888 |     32.007 |                   3312840 |     102153
SLH_DSA_SHA3_384_PREHASH_SHA2_256F   |            |                |                 |            |                           |           
keypair                              |        767 |          3.000 |        3911.580 |    145.490 |                  12485527 |     464321
sign                                 |         38 |          3.068 |       80741.632 |    793.154 |                 257724326 |    2531521
verify                               |       1432 |          3.001 |        2095.924 |     62.726 |                   6690068 |     200198
SLH_DSA_SHA3_384_PREHASH_SHAKE_128S  |            |                |                 |            |                           |           
keypair                              |         27 |          3.099 |      114762.037 |   1096.230 |                 366316426 |    3499193
sign                                 |          4 |          3.553 |      888283.750 |   1513.450 |                2835371102 |    4830311
verify                               |       3302 |          3.001 |         908.803 |     35.865 |                   2900811 |     114468
SLH_DSA_SHA3_384_PREHASH_SHAKE_128F  |            |                |                 |            |                           |           
keypair                              |       1669 |          3.001 |        1798.197 |     53.702 |                   5739724 |     171455
sign                                 |         71 |          3.008 |       42372.254 |    456.874 |                 135250755 |    1457929
verify                               |       1239 |          3.002 |        2423.099 |     64.304 |                   7734400 |     205279
SLH_DSA_SHA3_384_PREHASH_SHAKE_192S  |            |                |                 |            |                           |           
keypair                              |         18 |          3.031 |      168367.389 |   1135.608 |                 537423111 |    3625173
sign                                 |          2 |          3.099 |     1549723.000 |   5393.000 |                 651696713 |   17213757
verify                               |       2372 |          3.001 |        1265.258 |     40.615 |                   4038609 |     129669
SLH_DSA_SHA3_384_PREHASH_SHAKE_192F  |            |                |                 |            |                           |           
keypair                              |       1151 |          3.002 |        2608.392 |     65.421 |                   8325857 |     208809
sign                                 |         44 |          3.026 |       68778.977 |    608.311 |                 219539931 |    1941830
verify                               |        830 |          3.003 |        3617.776 |     84.679 |                  11547760 |     270274
SLH_DSA_SHA3_384_PREHASH_SHAKE_256S  |            |                |                 |            |                           |           
keypair                              |         28 |          3.104 |      110839.857 |   1306.947 |                 353796938 |    4171798
sign                                 |          3 |          4.145 |     1381761.000 |   1785.594 |                 115566917 |    5699067
verify                               |       1622 |          3.001 |        1850.448 |     52.481 |                   5906494 |     167457
SLH_DSA_SHA3_384_PREHASH_SHAKE_256F  |            |                |                 |            |                           |           
keypair                              |        436 |          3.005 |        6892.374 |    127.765 |                  22000108 |     407832
sign                                 |         22 |          3.126 |      142082.136 |    726.551 |                 453521425 |    2319521
verify                               |        802 |          3.001 |        3741.991 |     85.883 |                  11944246 |     274154
SLH_DSA_SHA3_512_PREHASH_SHA2_128S   |            |                |                 |            |                           |           
keypair                              |         47 |          3.005 |       63927.787 |    480.372 |                 204055127 |    1533372
sign                                 |          7 |          3.404 |      486242.429 |    645.174 |                1552069537 |    2059572
verify                               |       5984 |          3.000 |         501.415 |     20.124 |                   1600449 |      64224
SLH_DSA_SHA3_512_PREHASH_SHA2_128F   |            |                |                 |            |                           |           
keypair                              |       2997 |          3.001 |        1001.246 |     36.682 |                   3195879 |     117068
sign                                 |        129 |          3.018 |       23391.930 |    283.856 |                  74666050 |     906069
verify                               |       2168 |          3.001 |        1384.059 |     40.129 |                   4417817 |     128085
SLH_DSA_SHA3_512_PREHASH_SHA2_192S   |            |                |                 |            |                           |           
keypair                              |         33 |          3.081 |       93351.576 |   1227.762 |                 297974980 |    3919190
sign                                 |          4 |          3.499 |      874805.250 |   3917.825 |                2792348656 |   12504976
verify                               |       4172 |          3.001 |         719.203 |     27.476 |                   2295613 |      87691
SLH_DSA_SHA3_512_PREHASH_SHA2_192F   |            |                |                 |            |                           |           
keypair                              |       2063 |          3.001 |        1454.445 |     45.750 |                   4642491 |     145990
sign                                 |         78 |          3.014 |       38637.128 |    363.766 |                 123328324 |    1160917
verify                               |       1452 |          3.000 |        2066.198 |     56.957 |                   6595171 |     181796
SLH_DSA_SHA3_512_PREHASH_SHA2_256S   |            |                |                 |            |                           |           
keypair                              |         50 |          3.051 |       61011.740 |    509.763 |                 194747385 |    1627760
sign                                 |          4 |          3.120 |      780028.000 |   7927.809 |                2489823275 |   25305557
verify                               |       2865 |          3.000 |        1047.157 |     34.454 |                   3342445 |     109994
SLH_DSA_SHA3_512_PREHASH_SHA2_256F   |            |                |                 |            |                           |           
keypair                              |        787 |          3.001 |        3813.355 |     86.340 |                  12172032 |     275578
sign                                 |         39 |          3.075 |       78836.641 |    595.511 |                 251643788 |    1901263
verify                               |       1398 |          3.002 |        2147.047 |     61.342 |                   6853234 |     195818
SLH_DSA_SHA3_512_PREHASH_SHAKE_128S  |            |                |                 |            |                           |           
keypair                              |         27 |          3.078 |      114015.481 |    853.471 |                 363933419 |    2724129
sign                                 |          4 |          3.496 |      874085.250 |   4639.381 |                2790051247 |   14808136
verify                               |       3703 |          3.000 |         810.176 |     28.645 |                   2585971 |      91395
SLH_DSA_SHA3_512_PREHASH_SHAKE_128F  |            |                |                 |            |                           |           
keypair                              |       1688 |          3.001 |        1778.033 |     50.536 |                   5675360 |     161349
sign                                 |         72 |          3.013 |       41842.528 |    421.061 |                 133559943 |    1344142
verify                               |       1212 |          3.001 |        2476.317 |     82.739 |                   7904265 |     264126
SLH_DSA_SHA3_512_PREHASH_SHAKE_192S  |            |                |                 |            |                           |           
keypair                              |         19 |          3.154 |      166006.895 |    660.618 |                 529888168 |    2108514
sign                                 |          2 |          3.091 |     1545581.500 |   8787.500 |                 638476632 |   28047534
verify                               |       2464 |          3.000 |        1217.733 |     38.470 |                   3886880 |     122734
SLH_DSA_SHA3_512_PREHASH_SHAKE_192F  |            |                |                 |            |                           |           
keypair                              |       1152 |          3.002 |        2606.201 |     65.535 |                   8318829 |     209174
sign                                 |         44 |          3.008 |       68366.000 |    521.927 |                 218221854 |    1666072
verify                               |        839 |          3.003 |        3579.713 |     91.847 |                  11426266 |     293205
SLH_DSA_SHA3_512_PREHASH_SHAKE_256S  |            |                |                 |            |                           |           
keypair                              |         28 |          3.074 |      109798.250 |    653.773 |                 350472190 |    2087257
sign                                 |          3 |          4.125 |     1375103.333 |   4620.101 |                  94316913 |   14745621
verify                               |       1643 |          3.001 |        1826.512 |     47.167 |                   5830117 |     150522
SLH_DSA_SHA3_512_PREHASH_SHAKE_256F  |            |                |                 |            |                           |           
keypair                              |        434 |          3.006 |        6927.323 |    160.185 |                  22111730 |     511305
sign                                 |         22 |          3.101 |      140939.636 |    531.884 |                 449874462 |    1698181
verify                               |        814 |          3.001 |        3686.251 |    199.292 |                  11766352 |     636065
SLH_DSA_SHAKE_128_PREHASH_SHA2_128S  |            |                |                 |            |                           |           
keypair                              |         47 |          3.058 |       65069.064 |   1403.863 |                 207697983 |    4480741
sign                                 |          7 |          3.441 |      491552.143 |   7340.493 |                1569019416 |   23430800
verify                               |       6215 |          3.000 |         482.768 |     36.608 |                   1540935 |     116844
SLH_DSA_SHAKE_128_PREHASH_SHA2_128F  |            |                |                 |            |                           |           
keypair                              |       3003 |          3.000 |         999.013 |     44.990 |                   3188745 |     143569
sign                                 |        129 |          3.012 |       23349.442 |    281.642 |                  74530520 |     898977
verify                               |       2125 |          3.001 |        1412.195 |     51.233 |                   4507630 |     163492
SLH_DSA_SHAKE_128_PREHASH_SHA2_192S  |            |                |                 |            |                           |           
keypair                              |         33 |          3.092 |       93685.030 |   1158.627 |                 299039377 |    3698128
sign                                 |          4 |          3.496 |      873904.000 |   2694.634 |                2789472026 |    8600683
verify                               |       4064 |          3.001 |         738.322 |     28.030 |                   2356648 |      89474
SLH_DSA_SHAKE_128_PREHASH_SHA2_192F  |            |                |                 |            |                           |           
keypair                              |       2059 |          3.001 |        1457.694 |     45.029 |                   4652846 |     143718
sign                                 |         78 |          3.018 |       38697.885 |    372.184 |                 123522201 |    1187746
verify                               |       1464 |          3.001 |        2050.084 |     54.265 |                   6543746 |     173190
SLH_DSA_SHAKE_128_PREHASH_SHA2_256S  |            |                |                 |            |                           |           
keypair                              |         50 |          3.050 |       61002.080 |    507.879 |                 194716416 |    1621339
sign                                 |          4 |          3.125 |      781135.750 |   2285.456 |                2493358354 |    7294718
verify                               |       2945 |          3.000 |        1018.733 |     34.246 |                   3251702 |     109313
SLH_DSA_SHAKE_128_PREHASH_SHA2_256F  |            |                |                 |            |                           |           
keypair                              |        783 |          3.003 |        3834.737 |    116.234 |                  12240264 |     370961
sign                                 |         38 |          3.027 |       79653.763 |   1143.378 |                 254251877 |    3649479
verify                               |       1428 |          3.001 |        2101.597 |     60.920 |                   6708173 |     194466
SLH_DSA_SHAKE_128_PREHASH_SHAKE_128S |            |                |                 |            |                           |           
keypair                              |         27 |          3.082 |      114149.333 |   1030.494 |                 364360559 |    3289197
sign                                 |          4 |          3.524 |      880887.250 |  10608.737 |                2811761481 |   33862415
verify                               |       3486 |          3.000 |         860.662 |     29.577 |                   2747146 |      94399
SLH_DSA_SHAKE_128_PREHASH_SHAKE_128F |            |                |                 |            |                           |           
keypair                              |       1670 |          3.001 |        1797.188 |     50.644 |                   5736487 |     161662
sign                                 |         72 |          3.022 |       41978.653 |    436.538 |                 133994206 |    1393373
verify                               |       1222 |          3.001 |        2455.436 |     62.511 |                   7837628 |     199497
SLH_DSA_SHAKE_128_PREHASH_SHAKE_192S |            |                |                 |            |                           |           
keypair                              |         19 |          3.168 |      166726.263 |   1199.552 |                 532184453 |    3829432
sign                                 |          2 |          3.108 |     1554223.500 |   6330.500 |                 666060212 |   20205952
verify                               |       2444 |          3.001 |        1227.734 |     51.112 |                   3918820 |     163139
SLH_DSA_SHAKE_128_PREHASH_SHAKE_192F |            |                |                 |            |                           |           
keypair                              |       1120 |          3.001 |        2679.176 |     62.296 |                   8551743 |     198863
sign                                 |         44 |          3.051 |       69330.068 |    757.928 |                 221299047 |    2419392
verify                               |        822 |          3.001 |        3650.371 |     85.236 |                  11651777 |     272103
SLH_DSA_SHAKE_128_PREHASH_SHAKE_256S |            |                |                 |            |                           |           
keypair                              |         27 |          3.045 |      112777.815 |    746.486 |                 359983015 |    2382884
sign                                 |          3 |          4.223 |     1407637.333 |   2877.062 |                 198164197 |    9183615
verify                               |       1639 |          3.001 |        1831.238 |     45.667 |                   5845198 |     145747
SLH_DSA_SHAKE_128_PREHASH_SHAKE_256F |            |                |                 |            |                           |           
keypair                              |        427 |          3.006 |        7038.696 |    128.815 |                  22467237 |     411161
sign                                 |         21 |          3.038 |      144654.048 |   1008.902 |                 461730808 |    3219760
verify                               |        783 |          3.002 |        3834.328 |     88.265 |                  12238977 |     281757
SLH_DSA_SHAKE_256_PREHASH_SHA2_128S  |            |                |                 |            |                           |           
keypair                              |         47 |          3.038 |       64633.426 |    663.480 |                 206307536 |    2117807
sign                                 |          7 |          3.436 |      490927.714 |   2270.136 |                1567024298 |    7246248
verify                               |       6282 |          3.000 |         477.628 |     22.495 |                   1524526 |      71777
SLH_DSA_SHAKE_256_PREHASH_SHA2_128F  |            |                |                 |            |                           |           
keypair                              |       2947 |          3.001 |        1018.183 |     34.496 |                   3249948 |     110084
sign                                 |        127 |          3.019 |       23770.386 |    348.888 |                  75874271 |    1113518
verify                               |       2078 |          3.001 |        1444.314 |     46.804 |                   4610161 |     149408
SLH_DSA_SHAKE_256_PREHASH_SHA2_192S  |            |                |                 |            |                           |           
keypair                              |         33 |          3.072 |       93096.848 |    634.445 |                 297161936 |    2025279
sign                                 |          4 |          3.514 |      878416.000 |   3898.386 |                2803873940 |   12444060
verify                               |       4018 |          3.000 |         746.707 |     29.055 |                   2383411 |      92709
SLH_DSA_SHAKE_256_PREHASH_SHA2_192F  |            |                |                 |            |                           |           
keypair                              |       2035 |          3.001 |        1474.479 |     49.123 |                   4706426 |     156765
sign                                 |         77 |          3.023 |       39259.545 |    504.579 |                 125315004 |    1610533
verify                               |       1468 |          3.001 |        2044.507 |     56.482 |                   6525934 |     180222
SLH_DSA_SHAKE_256_PREHASH_SHA2_256S  |            |                |                 |            |                           |           
keypair                              |         49 |          3.014 |       61501.102 |    545.444 |                 196309343 |    1741384
sign                                 |          4 |          3.132 |      783000.000 |   2974.592 |                2499309466 |    9494927
verify                               |       2858 |          3.000 |        1049.688 |     34.285 |                   3350522 |     109446
SLH_DSA_SHAKE_256_PREHASH_SHA2_256F  |            |                |                 |            |                           |           
keypair                              |        785 |          3.003 |        3824.852 |     88.432 |                  12208770 |     282251
sign                                 |         38 |          3.024 |       79567.974 |    803.220 |                 253978094 |    2563693
verify                               |       1399 |          3.000 |        2144.596 |     59.209 |                   6845407 |     188992
SLH_DSA_SHAKE_256_PREHASH_SHAKE_128S |            |                |                 |            |                           |           
keypair                              |         27 |          3.102 |      114894.704 |   1042.715 |                 366739891 |    3328552
sign                                 |          4 |          3.500 |      874984.750 |   1783.665 |                2792921260 |    5693620
verify                               |       3352 |          3.000 |         895.072 |     30.597 |                   2856989 |      97641
SLH_DSA_SHAKE_256_PREHASH_SHAKE_128F |            |                |                 |            |                           |           
keypair                              |       1678 |          3.001 |        1788.399 |    110.270 |                   5708470 |     352014
sign                                 |         72 |          3.016 |       41884.917 |    468.205 |                 133695100 |    1494736
verify                               |       1216 |          3.002 |        2468.377 |     65.098 |                   7878908 |     207780
SLH_DSA_SHAKE_256_PREHASH_SHAKE_192S |            |                |                 |            |                           |           
keypair                              |         18 |          3.010 |      167233.278 |   1466.492 |                 533802867 |    4681692
sign                                 |          2 |          3.097 |     1548334.000 |   5293.000 |                 647262431 |   16895670
verify                               |       2369 |          3.000 |        1266.442 |     38.030 |                   4042370 |     121347
SLH_DSA_SHAKE_256_PREHASH_SHAKE_192F |            |                |                 |            |                           |           
keypair                              |       1152 |          3.002 |        2606.062 |     65.612 |                   8318374 |     209497
sign                                 |         44 |          3.015 |       68518.636 |    711.079 |                 218708972 |    2269050
verify                               |        818 |          3.003 |        3671.093 |     89.113 |                  11717949 |     284451
SLH_DSA_SHAKE_256_PREHASH_SHAKE_256S |            |                |                 |            |                           |           
keypair                              |         28 |          3.098 |      110654.357 |    853.674 |                 353204787 |    2725070
sign                                 |          3 |          4.153 |     1384363.000 |   4441.484 |                 123873054 |   14177232
verify                               |       1650 |          3.001 |        1818.524 |     50.004 |                   5804579 |     159630
SLH_DSA_SHAKE_256_PREHASH_SHAKE_256F |            |                |                 |            |                           |           
keypair                              |        436 |          3.003 |        6886.837 |    128.933 |                  21982462 |     411518
sign                                 |         22 |          3.125 |      142054.364 |    990.885 |                 453432641 |    3162565
verify                               |        795 |          3.001 |        3774.381 |     81.046 |                  12047631 |     258648
Ended at 2025-12-26 11:24:35
